id,line_order,point_order,lon,lat
20610020000,0,39,145.05962958567628,-37.66905879312763
20610020000,0,40,145.05945533570383,-37.66908203311579
20610020000,0,41,145.0593610157922,-37.668419173105185
20610020000,0,42,145.0593372558072,-37.668319003102916
20610020000,0,43,145.0593081258202,-37.66824601310047
20610020000,0,44,145.0592551658394,-37.66815322309625
20610020000,0,45,145.05918639586062,-37.66806710309099
20610020000,0,46,145.05912307587823,-37.66800572308626
20610030000,0,0,145.05385980658642,-37.669847432735985
20610030000,0,1,145.0538983865794,-37.669850852738655
20610030000,0,2,145.0539399966044,-37.66955439273967
20610030000,0,3,145.0539711366063,-37.66948771274141
20610030000,0,4,145.0543066065451,-37.66951789276465
20610030000,0,5,145.05437106653358,-37.6695216627691
20610030000,0,6,145.05443548652264,-37.669520052773514
