SA2_CODE_2021,SUA_CODE_2021
214021377,2011
214021378,2000
214021379,2011
214021381,2011
214021382,2011
214021383,2011
214021384,2011
214021385,2011
214021591,2011
214021592,2011
215011386,2000
215011387,2000
215011388,2010
215011389,2000
215011390,2000
215011391,2000
215011392,2000
215011393,2000
215011394,2000
215021395,2012
215021396,2012
215021398,2000
215021399,2000
215021469,2012
215021470,2012
215031400,2000
215031401,2000
215031402,2000
215031403,2000
215031404,2017
215031405,2000
216011406,2007
216011407,2000
216011408,2000
216011409,2000
216011410,2000
216021411,2000
216021412,2000
216021413,2000
216021414,2000
216031415,2016
216031416,2016
216031418,2000
216031419,2000
216031593,2016
216031594,2016
217011420,2000
217011421,2000
217011422,2014
217011423,2000
217031471,2000
217031472,2006
217031473,2000
217031474,2000
217031475,2000
217031476,2000
217041477,2000
217041478,2000
217041479,2021
217041480,2021
297979799,2000
299999499,2000
301011001,3002
301011002,3002
301011003,3002
301011004,3002
301011005,3002
301011006,3002
301021007,3002
301021008,3002
301021009,3002
301021011,3002
301021012,3002
301021013,3002
301021550,3000
301021551,3000
301031014,3002
301031015,3002
301031016,3002
301031017,3002
301031018,3002
301031019,3002
301031020,3002
301031021,3002
302011022,3002
302011023,3002
302011024,3002
302011025,3002
302011026,3002
302021027,3002
302021028,3002
302021029,3002
302021030,3002
302021031,3002
302021032,3002
302021033,3002
302021034,3002
302031035,3002
302031036,3002
302031037,3002
302031038,3002
302031039,3002
302031040,3002
302041041,3002
302041042,3002
302041043,3002
302041044,3002
302041045,3002
302041046,3002
303011047,3002
303011048,3002
303011049,3002
303011050,3002
303011051,3002
303021052,3002
303021053,3002
303021054,3002
303021055,3002
303021056,3002
303021057,3002
303021058,3002
303021059,3002
303031060,3002
303031061,3002
303031062,3002
303031063,3002
303031064,3002
303031065,3002
303031066,3002
303041067,3002
303041068,3002
303041069,3002
303041070,3002
303041071,3002
303051072,3002
303051073,3002
303051074,3002
303051075,3002
303051076,3002
303061077,3002
303061078,3002
303061079,3002
303061080,3002
304011081,3002
304011082,3002
304011083,3002
304011084,3002
304011085,3002
304021086,3002
304021087,3002
304021088,3002
304021089,3002
304021090,3002
304021091,3002
304031092,3002
304031093,3002
304031094,3002
304031095,3002
304031096,3002
304031097,3002
304041098,3002
304041099,3000
304041100,3002
304041101,3002
