UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021
121076,Millfield (L),121
121077,Millthorpe (L),121
121078,Minmi (L),121
121079,Modanville (L),121
121080,Moonee Beach (L),121
121081,Moonee Beach West (L),121
121082,Moruya Heads (L),121
121083,Mount Victoria (L),121
121084,Mulgoa (L),121
121085,Murrays Beach (L),121
121086,Murrurundi (L),121
121087,Nabiac (L),121
121088,New Berrima (L),121
121089,Nords Wharf (L),121
121090,Nowra Hill (L),121
121091,Nunderi (L),121
121092,Oakdale (L),121
121093,Paxton (L),121
121094,Peak Hill (L),121
121095,Putta Bucca - Bombira (L),121
121096,Red Head (L),121
121097,Repton (L),121
121098,Richmond Hill (L),121
121099,Rylstone (L),121
121100,Safety Beach (L),121
121101,Salt Ash (L),121
121102,Scotts Head (L),121
121103,Smithtown - Gladstone (L),121
121104,Stroud (L),121
121105,Stuarts Point (L),121
121106,Tallwoods Village (L),121
121107,The Rock (L),121
121108,Tinonee (L),121
121109,Tintenbar (L),121
121110,Townsend (L),121
121111,Trangie (L),121
121112,Uranquinty (L),121
121113,Walla Walla (L),121
121114,Wallabi Point (L),121
121115,Wallaga Lake (L),121
121116,Wallalong (L),121
121117,Wardell (L),121
121118,Waterfall (L),121
121119,Waterview Heights (L),121
121120,Wilcannia (L),121
121121,Wingello (L),121
121122,Wongarbon (L),121
121123,Woodburn (L),121
121124,Wooli (L),121
121125,Woombah (L),121
121126,Wooroowoolgan (L),121
121127,Yanderra (L),121
121128,Yerrinbool (L),121
122001,Abernethy (L),122
122002,Adaminaby (L),122
122003,Agnes Banks (L),122
122004,Angourie (L),122
122005,Ardlethan (L),122
122006,Ariah Park (L),122
122007,Ashford (L),122
122008,Ashley (L),122
122009,Attunga (L),122
122010,Awaba (L),122
122011,Balmoral (L),122
122012,Barellan (L),122
122013,Barmedman (L),122
122014,Bemboka (L),122
122015,Berrima (L),122
122016,Bilbul (L),122
122017,Binalong (L),122
122018,Binnaway (L),122
122019,Bodalla (L),122
122020,Bonalbo (L),122
122021,Bonny Hills - West (L),122
122022,Bonville - East (L),122
122023,Bonville (L),122
122024,Bowning (L),122
122025,Bredbo (L),122
122026,Broke (L),122
122027,Brooms Head (L),122
122028,Bundarra (L),122
122029,Burrawang (L),122
122030,Candelo (L),122
122031,Caniaba (L),122
122032,Captains Flat (L),122
122033,Cargo (L),122
122034,Clarenza (L),122
122035,Cobargo (L),122
122036,Collarenebri (L),122
122037,Collector (L),122
122038,Conjola Park (L),122
122039,Coopernook (L),122
122040,Copmanhurst (L),122
122041,Coramba (L),122
122042,Couridjah (L),122
122043,Cudal (L),122
122044,Cullen Bullen (L),122
122045,Cumnock (L),122
122046,Currarong (L),122
122047,Dangar Island (L),122
122048,Dareton (L),122
122049,Deepwater (L),122
122050,Delegate (L),122
122051,Delungra (L),122
122052,Elizabeth Beach (L),122
122053,Emmaville (L),122
122054,Euston (L),122
122055,Exeter (L) (NSW),122
122056,Fairy Hill (L),122
122057,Falls Creek (L) (NSW),122
122058,Fishermans Paradise (L),122
122059,Geurie (L),122
122060,Gilgai (L),122
122061,Goodooga (L),122
122062,Goolgowi (L),122
122063,Gresford (L),122
122064,Gulargambone (L),122
122065,Hat Head (L),122
122066,Hinton (L),122
122067,Hyland Park (L),122
122068,Ivanhoe (L),122
122069,Kangaroo Valley (L),122
122070,Kenthurst (L),122
122071,Kew (L),122
122072,Khancoban (L),122
122073,Kioloa (L),122
122074,Koorawatha (L),122
122075,Kurmond (L),122
122076,Ladysmith (L),122
122077,Lansdowne (L),122
122078,Lennox Head - West (L),122
122079,Linden (L),122
122080,Luddenham (L),122
122081,Lyndhurst (L),122
122082,Manning Point (L),122
122083,Marrangaroo (L),122
122084,Menangle Park (L),122
122085,Mendooran (L),122
122086,Menindee (L),122
122087,Minnie Water (L),122
122088,Mogo (L),122
122089,Moonbi (L),122
122090,Mooney Mooney (L),122
122091,Moulamein (L),122
122092,Mulbring (L),122
122093,Mungindi (L),122
122094,Mylestom (L),122
122095,Nana Glen (L),122
122096,Nelligen (L),122
122097,Nemingha (L),122
122098,Nimbin (L),122
122099,Nimmitabel (L),122
122100,North Arm Cove (L),122
122101,North Shore (L),122
122102,Nundle (L),122
122103,Oaklands (L),122
122104,Orchard Hills (L),122
122105,Otford (L),122
122106,Pallamallawa (L),122
122107,Paterson (L),122
122108,Patonga (L),122
122109,Perisher Village (L),122
122110,Perthville (L),122
122111,Picton - West (L),122
122112,Pindimar (L),122
122113,Rainbow Flat (L),122
122114,Red Rock (L),122
122115,Riverside (L),122
122116,Rosedale - Guerilla Bay (L),122
122117,Seaham (L),122
122118,Seahampton (L),122
122119,South Durras (L),122
122120,South Pambula (L),122
122121,Spring Hill (L),122
122122,Stanwell Tops (L),122
122123,Stockinbingal (L),122
122124,Sutton (L),122
122125,Talbingo (L),122
122126,Tapitallee (L),122
