SA1_CODE_2021,UCL_CODE_2021
11901157238,101001
11901157239,101001
11902136225,101001
11902136226,101001
11902136227,101001
11902136228,101001
11902136229,101001
11902136230,101001
11902136231,101001
11902136233,101001
11902136234,101001
11902136235,101001
11902136236,101001
11903137019,101001
11903137020,101001
11903137021,101001
11903137022,101001
11903137023,101001
11903137024,101001
11903137025,101001
11902157420,101001
11902157421,101001
11902165901,101001
11902165902,101001
11902165903,101001
11902165904,101001
11902165905,101001
11902165906,101001
11902165907,101001
11902165908,101001
11902165909,101001
11902165910,101001
11902165911,101001
11901157240,101001
11901157242,101001
11901157243,101001
11901157244,101001
11901157245,101001
11901157246,101001
11901165501,101001
11901165502,101001
11901165503,101001
11901165504,101001
11901165505,101001
11901165506,101001
11902136237,101001
11902136238,101001
11902136239,101001
11902136240,101001
11902136241,101001
11902136242,101001
11902136243,101001
11902136244,101001
11902136245,101001
11902136246,101001
11902136247,101001
11902136248,101001
11902136249,101001
11902136601,101001
11903137026,101001
11903137027,101001
11903137028,101001
11903137029,101001
11903137030,101001
11903137101,101001
11903137102,101001
11902165912,101001
11902165913,101001
11902165914,101001
11902165915,101001
11902165916,101001
11902165917,101001
11902165918,101001
11902165919,101001
11902165920,101001
11902165921,101001
11902165922,101001
11901165507,101001
11901165508,101001
11901165509,101001
11901165510,101001
11901165511,101001
11901165512,101001
11901165513,101001
11901165514,101001
11901165515,101001
11901165516,101001
11901165517,101001
11901165518,101001
11902136602,101001
11902136603,101001
11902136604,101001
11902136605,101001
11902136606,101001
11902136607,101001
11902136608,101001
11902136609,101001
11902136610,101001
11902136611,101001
11903137103,101001
11903137104,101001
11903137105,101001
11903137106,101001
11902165923,101001
11902165924,101001
11902165925,101001
11902165926,101001
11902165927,101001
11902165928,101001
11902165929,101001
11902166001,101001
11902166002,101001
11902166003,101001
11902166004,101001
11902166005,101001
11902166006,101001
11902166007,101001
11901165519,101001
11901165520,101001
11901165521,101001
11901165522,101001
11901165523,101001
11901165524,101001
11901165525,101001
11901165526,101001
11901165527,101001
11901165528,101001
11902136612,101001
11902136613,101001
11902136614,101001
11902136615,101001
11902136616,101001
11902136617,101001
11902136618,101001
11902136619,101001
11902136620,101001
11902136621,101001
11902136622,101001
11902136623,101001
11902136624,101001
11903137107,101001
11903137108,101001
11903137109,101001
11902166008,101001
11902166009,101001
11902166010,101001
11902166011,101001
11902166012,101001
11902166013,101001
11902166014,101001
11902166015,101001
11902166016,101001
11902166017,101001
11902166018,101001
11902166019,101001
11901165529,101001
11901165530,101001
11901165531,101001
11901165601,101001
11901165602,101001
11901165603,101001
11901165604,101001
11901165605,101001
11901165606,101001
11901165607,101001
11901165608,101001
11901165609,101001
11901165610,101001
11902136625,101001
11902136626,101001
11902136627,101001
11902136628,101001
11902136629,101001
