DZN_CODE_2021,AREA_ALBERS_SQKM,SA2_CODE_2021
110536494,1.5487,102021053
110536495,1.3969,102021053
110536496,7.4779,102021053
110546509,4.2499,102021054
110546510,2.6699,102021054
110546511,3.6018,102021054
110550001,8.0327,102021055
110556343,5.6875,102021055
110556344,8.6147,102021055
110556345,0.9335,102021055
110556348,4.5779,102021055
110560001,1.2578,102021056
110560002,1.1926,102021056
110560003,0.9536,102021056
110566361,3.8185,102021056
110566362,10.2578,102021056
110566363,4.2784,102021056
110566365,3.2158,102021056
110566366,10.0653,102021056
110566367,7.8502,102021056
110576327,4.9188,102021057
110576328,3.6478,102021057
110576329,4.7249,102021057
110576330,1.7419,102021057
110590001,47.7877,103011059
110590002,46.2465,103011059
110608289,1523.9503,103011060
110608290,43.8285,103011060
110608291,1463.6313,103011060
110608292,766.8527,103011060
110618295,2584.1855,103011061
110618296,7.0861,103011061
110618297,381.1097,103011061
110628178,6.0893,103021062
110628179,7913.3401,103021062
110628180,7100.9159,103021062
110628181,8.7273,103021062
110628182,829.7776,103021062
110638211,242.201,103021063
110648214,582.6351,103021064
110648215,475.0557,103021064
110648216,4.204,103021064
110648217,664.8626,103021064
110648218,646.3713,103021064
110648219,664.0269,103021064
110658201,2799.7912,103021065
110658202,22.6071,103021065
110658203,1775.6455,103021065
110668206,1906.9621,103021066
110668207,10.9719,103021066
110668208,1376.1426,103021066
110678197,15.0396,103021067
110678198,219.7159,103021067
110688185,879.0482,103021068
110688186,1441.5334,103021068
110688187,2094.3463,103021068
110688188,1003.237,103021068
110698191,6108.0943,103021069
110698192,15.818,103021069
110698193,1603.9824,103021069
110698194,589.5783,103021069
110708276,61.782,103031070
110708277,39.9478,103031070
110708278,18.2546,103031070
110718265,98.897,103031071
110718266,1516.5194,103031071
110718267,121.1389,103031071
110718268,489.4079,103031071
110718269,261.3312,103031071
110718270,26.7754,103031071
110720001,42.4038,103031072
110720002,23.4911,103031072
110738261,2714.8442,103031073
110738262,137.2401,103031073
110748254,1500.7386,103031074
110748255,4.042,103031074
110748256,2558.3237,103031074
110748257,1426.5705,103031074
110748258,2554.1885,103031074
110758273,2448.7276,103031075
110768245,898.7113,103041076
110768246,5.3696,103041076
110768247,294.1119,103041076
110768248,444.482,103041076
110778240,3.9625,103041077
110778241,4.8308,103041077
110778242,25.2566,103041077
110778243,2.4006,103041077
110778244,3.9654,103041077
110778245,1.4032,103041077
110778246,3.4308,103041077
110788233,21.4798,103041078
110788234,5.9383,103041078
110788235,2.1608,103041078
110788236,69.933,103041078
110790001,986.6019,103041079
110798224,680.2493,103041079
110798225,437.7718,103041079
110798226,1008.5302,103041079
110798227,442.798,103041079
110798228,502.082,103041079
110798229,86.3872,103041079
110798230,335.6752,103041079
110808417,24.2416,104011080
110808418,50.4578,104011080
110808420,22.112,104011080
110808421,1.7685,104011080
110808422,3.2219,104011080
110808423,4.4519,104011080
110818404,917.7099,104011081
110818405,2842.8426,104011081
110818406,2012.6989,104011081
110818407,115.3866,104011081
110818408,86.11,104011081
110818409,425.856,104011081
110818410,149.9379,104011081
110818411,917.4634,104011081
110818412,207.6119,104011081
110818413,768.1662,104011081
110818414,2.1076,104011081
110828423,33.3566,104011082
110828424,360.163,104011082
110828425,287.1917,104011082
110828426,5.5661,104011082
110828427,24.7719,104011082
110838435,750.358,104021083
110838436,3.6139,104021083
110838437,247.0762,104021083
110848459,13.8708,104021084
110848460,6.5374,104021084
110848461,5.2606,104021084
110858473,13.085,104021085
110858474,3.188,104021085
110858475,14.609,104021085
110858476,2.8176,104021085
110868440,239.5078,104021086
110868441,124.4012,104021086
110878430,1192.8962,104021087
110878431,2.6431,104021087
110878432,792.1321,104021087
110888464,19.1936,104021088
110888465,20.9959,104021088
110888466,17.4987,104021088
110898451,12.4819,104021089
110898452,2.7283,104021089
