,UCL_CODE_2016,UCL_NAME_2016,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,AREA_ALBERS_SQKM_2016,UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021,SOSR_NAME_2021,SOS_CODE_2021,SOS_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
1391,421027,Mount Pleasant (L),421.0,500 or more,42.0,Bounded Locality,0.8233,421027.0,Mount Pleasant (L),421.0,500 or more,42.0,Bounded Locality,0.8233,
1392,421028,One Tree Hill (L),421.0,500 or more,42.0,Bounded Locality,0.7024,421028.0,One Tree Hill (L),421.0,500 or more,42.0,Bounded Locality,0.7024,
1393,421029,Orroroo (L),421.0,500 or more,42.0,Bounded Locality,2.4622,421029.0,Orroroo (L),421.0,500 or more,42.0,Bounded Locality,2.4622,
1394,421031,Pinnaroo (L),421.0,500 or more,42.0,Bounded Locality,4.101,421030.0,Pinnaroo (L),421.0,500 or more,42.0,Bounded Locality,4.101,
1395,421032,Port MacDonnell (L),421.0,500 or more,42.0,Bounded Locality,3.5985,421031.0,Port MacDonnell (L),421.0,500 or more,42.0,Bounded Locality,3.5985,
1396,421033,Port Wakefield (L),421.0,500 or more,42.0,Bounded Locality,2.1202,421032.0,Port Wakefield (L),421.0,500 or more,42.0,Bounded Locality,2.1202,
1397,422050,Pukatja (Ernabella) (L),422.0,200 to 499,42.0,Bounded Locality,8.4778,421033.0,Pukatja (Ernabella) (L),421.0,500 or more,42.0,Bounded Locality,8.4778,
1398,421034,Quorn (L),421.0,500 or more,42.0,Bounded Locality,20.9209,421034.0,Quorn (L),421.0,500 or more,42.0,Bounded Locality,20.9209,
1399,421035,Riverton (L),421.0,500 or more,42.0,Bounded Locality,1.6317,421035.0,Riverton (L),421.0,500 or more,42.0,Bounded Locality,1.6317,
1400,421036,Roseworthy (L),421.0,500 or more,42.0,Bounded Locality,2.8365,421036.0,Roseworthy (L),421.0,500 or more,42.0,Bounded Locality,2.8365,
1401,421038,Streaky Bay (L),421.0,500 or more,42.0,Bounded Locality,2.9556,421037.0,Streaky Bay (L),421.0,500 or more,42.0,Bounded Locality,2.9556,
1402,421039,Uraidla - Summertown (L),421.0,500 or more,42.0,Bounded Locality,3.9221,421038.0,Uraidla - Summertown (L),421.0,500 or more,42.0,Bounded Locality,3.9221,
1403,422063,Wasleys (L),422.0,200 to 499,42.0,Bounded Locality,0.7868,421039.0,Wasleys (L),421.0,500 or more,42.0,Bounded Locality,1.4108,
1404,421041,Willyaroo (L),421.0,500 or more,42.0,Bounded Locality,6.7063,421040.0,Willyaroo (L),421.0,500 or more,42.0,Bounded Locality,6.7063,
1405,421042,Wudinna (L),421.0,500 or more,42.0,Bounded Locality,3.1886,421041.0,Wudinna (L),421.0,500 or more,42.0,Bounded Locality,3.1886,
1406,421043,Yankalilla (L),421.0,500 or more,42.0,Bounded Locality,3.3627,421042.0,Yankalilla (L),421.0,500 or more,42.0,Bounded Locality,3.3627,
